-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 3:25:35 PM     2/14/2014 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1162
  Max.    Elevation: 5855
  Mean.   Elevation: 3642.06194010759
  Std.    Deviation: 776.913104483359

                    Elevation          % Area Below Elevation         % Area Watershed

                    1614                     1.21                      0
                    1615                     1.21                      0
                    1616                     1.22                      0
                    1617                     1.22                      0
                    1618                     1.22                      0
                    1619                     1.23                      0
                    1620                     1.23                      0
                    1621                     1.24                      0
                    1622                     1.24                      0
                    1623                     1.24                      0
                    1624                     1.25                      0
                    1625                     1.25                      0
                    1626                     1.25                      0
                    1627                     1.26                      0
                    1628                     1.26                      0
                    1629                     1.27                      0
                    1630                     1.27                      0
                    1631                     1.27                      0
                    1632                     1.28                      0
                    1633                     1.28                      0
                    1634                     1.28                      0
                    1635                     1.29                      0
                    1636                     1.29                      0
                    1637                     1.3                       0
                    1638                     1.3                       0
                    1639                     1.3                       0
                    1640                     1.31                      0
                    1641                     1.31                      0
                    1642                     1.31                      0
                    1643                     1.32                      0
                    1644                     1.32                      0
                    1645                     1.32                      0
                    1646                     1.33                      0
                    1647                     1.33                      0
                    1648                     1.34                      0
                    1649                     1.34                      0
                    1650                     1.34                      0
                    1651                     1.35                      0
                    1652                     1.35                      0
                    1653                     1.35                      0
                    1654                     1.36                      0
                    1655                     1.36                      0
                    1656                     1.36                      0
                    1657                     1.37                      0
                    1658                     1.37                      0
                    1659                     1.38                      0
                    1660                     1.38                      0
                    1661                     1.38                      0
                    1662                     1.39                      0
                    1663                     1.39                      0
                    1664                     1.39                      0
                    1665                     1.4                       0
                    1666                     1.4                       0
                    1667                     1.4                       0
                    1668                     1.41                      0
                    1669                     1.41                      0
                    1670                     1.42                      0
                    1671                     1.42                      0
                    1672                     1.42                      0
                    1673                     1.43                      0
                    1674                     1.43                      0
                    1675                     1.44                      0
                    1676                     1.44                      0
                    1677                     1.44                      0
                    1678                     1.45                      0
                    1679                     1.45                      0
                    1680                     1.45                      0
                    1681                     1.46                      0
                    1682                     1.46                      0
                    1683                     1.47                      0
                    1684                     1.47                      0
                    1685                     1.47                      0
                    1686                     1.48                      0
                    1687                     1.48                      0
                    1688                     1.49                      0
                    1689                     1.49                      0
                    1690                     1.49                      0
                    1691                     1.5                       0
                    1692                     1.5                       0
                    1693                     1.51                      0
                    1694                     1.51                      0
                    1695                     1.51                      0
                    1696                     1.52                      0
                    1697                     1.52                      0
                    1698                     1.53                      0
                    1699                     1.53                      0
                    1700                     1.53                      0
                    1701                     1.54                      0
                    1702                     1.54                      0
                    1703                     1.55                      0
                    1704                     1.55                      0
                    1705                     1.55                      0
                    1706                     1.56                      0
                    1707                     1.56                      0
                    1708                     1.57                      0
                    1709                     1.57                      0
                    1710                     1.57                      0
                    1711                     1.58                      0
                    1712                     1.58                      0
                    1713                     1.59                      0
                    1714                     1.59                      0
                    1715                     1.59                      0
                    1716                     1.6                       0
                    1717                     1.6                       0
                    1718                     1.61                      0
                    1719                     1.61                      0
                    1720                     1.62                      0
                    1721                     1.62                      0
                    1722                     1.62                      0
                    1723                     1.63                      0
                    1724                     1.63                      0
                    1725                     1.64                      0
                    1726                     1.64                      0
                    1727                     1.64                      0
                    1728                     1.65                      0
                    1729                     1.65                      0
                    1730                     1.66                      0
                    1731                     1.66                      0
                    1732                     1.66                      0
                    1733                     1.67                      0
                    1734                     1.67                      0
                    1735                     1.68                      0
                    1736                     1.68                      0
                    1737                     1.69                      0
                    1738                     1.69                      0
                    1739                     1.69                      0
                    1740                     1.7                       0
                    1741                     1.7                       0
                    1742                     1.71                      0
                    1743                     1.71                      0
                    1744                     1.71                      0
                    1745                     1.72                      0
                    1746                     1.72                      0
                    1747                     1.73                      0
                    1748                     1.73                      0
                    1749                     1.74                      0
                    1750                     1.74                      0
                    1751                     1.74                      0
                    1752                     1.75                      0
                    1753                     1.75                      0
                    1754                     1.76                      0
                    1755                     1.76                      0
                    1756                     1.77                      0
                    1757                     1.77                      0
                    1758                     1.77                      0
                    1759                     1.78                      0
                    1760                     1.78                      0
                    1761                     1.79                      0
                    1762                     1.79                      0
                    1763                     1.79                      0
                    1764                     1.8                       0
                    1765                     1.8                       0
                    1766                     1.81                      0
                    1767                     1.81                      0
                    1768                     1.82                      0
                    1769                     1.82                      0
                    1770                     1.83                      0
                    1771                     1.83                      0
                    1772                     1.83                      0
                    1773                     1.84                      0
                    1774                     1.84                      0
                    1775                     1.85                      0
                    1776                     1.85                      0
                    1777                     1.86                      0
                    1778                     1.86                      0
                    1779                     1.87                      0
                    1780                     1.87                      0
