-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 9:38:30 AM     9/13/2013 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 5
  Max.    Elevation: 5532
  Mean.   Elevation: 1672.51732121021
  Std.    Deviation: 1173.24884594969

                    Elevation          % Area Below Elevation         % Area Watershed

                    396                     11.81                     .03
                    397                     11.84                     .03
                    398                     11.88                     .03
                    399                     11.91                     .04
                    400                     11.95                     .03
                    401                     11.98                     .04
                    402                     12.02                     .03
                    403                     12.05                     .04
                    404                     12.09                     .03
                    405                     12.12                     .04
                    406                     12.16                     .03
                    407                     12.19                     .03
                    408                     12.22                     .03
                    409                     12.26                     .03
                    410                     12.29                     .03
                    411                     12.33                     .03
                    412                     12.36                     .03
                    413                     12.4                      .03
                    414                     12.43                     .04
                    415                     12.47                     .03
                    416                     12.5                      .03
                    417                     12.54                     .03
                    418                     12.57                     .03
                    419                     12.6                      .03
                    420                     12.64                     .04
                    421                     12.67                     .03
                    422                     12.71                     .03
                    423                     12.74                     .03
                    424                     12.78                     .03
                    425                     12.81                     .04
                    426                     12.85                     .04
                    427                     12.88                     .04
                    428                     12.92                     .04
                    429                     12.95                     .04
                    430                     12.99                     .04
                    431                     13.02                     .03
                    432                     13.06                     .03
                    433                     13.09                     .03
                    434                     13.13                     .03
                    435                     13.16                     .03
                    436                     13.2                      .03
                    437                     13.23                     .03
                    438                     13.27                     .03
                    439                     13.3                      .03
                    440                     13.33                     .03
                    441                     13.37                     .03
                    442                     13.4                      .03
                    443                     13.44                     .03
                    444                     13.47                     .03
                    445                     13.5                      .03
                    446                     13.54                     .03
                    447                     13.57                     .03
                    448                     13.61                     .03
                    449                     13.64                     .03
                    450                     13.68                     .03
                    451                     13.71                     .04
                    452                     13.75                     .03
                    453                     13.78                     .03
                    454                     13.82                     .03
                    455                     13.85                     .04
                    456                     13.89                     .04
                    457                     13.92                     .03
                    458                     13.96                     .04
                    459                     13.99                     .04
                    460                     14.03                     .04
                    461                     14.06                     .04
                    462                     14.1                      .04
                    463                     14.14                     .04
                    464                     14.17                     .04
                    465                     14.21                     .04
                    466                     14.24                     .04
                    467                     14.28                     .04
                    468                     14.32                     .04
                    469                     14.35                     .04
                    470                     14.39                     .04
                    471                     14.43                     .04
                    472                     14.46                     .04
                    473                     14.5                      .04
                    474                     14.53                     .04
                    475                     14.57                     .04
                    476                     14.61                     .04
                    477                     14.64                     .04
                    478                     14.68                     .04
                    479                     14.71                     .04
                    480                     14.75                     .04
                    481                     14.78                     .04
                    482                     14.82                     .04
                    483                     14.86                     .04
                    484                     14.89                     .04
                    485                     14.93                     .04
                    486                     14.96                     .04
                    487                     15                        .04
                    488                     15.04                     .04
                    489                     15.07                     .04
                    490                     15.11                     .04
                    491                     15.15                     .04
                    492                     15.19                     .04
                    493                     15.22                     .04
                    494                     15.26                     .04
                    495                     15.3                      .04
                    496                     15.34                     .04
                    497                     15.37                     .04
                    498                     15.41                     .04
