-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 8:57:00 AM     2/24/2014 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 634
  Max.    Elevation: 6059
  Mean.   Elevation: 3324.16127982097
  Std.    Deviation: 952.278917248019

                    Elevation          % Area Below Elevation         % Area Watershed

                    1088                     1.26                      .01
                    1089                     1.26                      .01
                    1090                     1.27                      .01
                    1091                     1.27                      .01
                    1092                     1.28                      .01
                    1093                     1.29                      .01
                    1094                     1.29                      .01
                    1095                     1.3                       .01
                    1096                     1.31                      .01
                    1097                     1.31                      .01
                    1098                     1.32                      .01
                    1099                     1.33                      .01
                    1100                     1.33                      .01
                    1101                     1.34                      .01
                    1102                     1.35                      .01
                    1103                     1.35                      .01
                    1104                     1.36                      .01
                    1105                     1.36                      .01
                    1106                     1.37                      .01
                    1107                     1.38                      .01
                    1108                     1.38                      .01
                    1109                     1.39                      .01
                    1110                     1.4                       .01
                    1111                     1.4                       .01
                    1112                     1.41                      .01
                    1113                     1.42                      .01
                    1114                     1.42                      .01
                    1115                     1.43                      .01
                    1116                     1.43                      .01
                    1117                     1.44                      .01
                    1118                     1.44                      .01
                    1119                     1.45                      .01
                    1120                     1.46                      .01
                    1121                     1.46                      .01
                    1122                     1.47                      .01
                    1123                     1.47                      .01
                    1124                     1.48                      .01
                    1125                     1.49                      .01
                    1126                     1.49                      .01
                    1127                     1.5                       .01
                    1128                     1.51                      .01
                    1129                     1.51                      .01
                    1130                     1.52                      .01
                    1131                     1.53                      .01
                    1132                     1.53                      .01
                    1133                     1.54                      .01
                    1134                     1.54                      .01
                    1135                     1.55                      .01
                    1136                     1.56                      .01
                    1137                     1.56                      .01
                    1138                     1.57                      .01
                    1139                     1.58                      .01
                    1140                     1.58                      .01
                    1141                     1.59                      .01
                    1142                     1.6                       .01
                    1143                     1.6                       .01
                    1144                     1.61                      .01
                    1145                     1.62                      .01
                    1146                     1.62                      .01
                    1147                     1.63                      .01
                    1148                     1.64                      .01
                    1149                     1.64                      .01
                    1150                     1.65                      .01
                    1151                     1.66                      .01
                    1152                     1.66                      .01
                    1153                     1.67                      .01
                    1154                     1.68                      .01
                    1155                     1.68                      .01
                    1156                     1.69                      .01
                    1157                     1.7                       .01
                    1158                     1.7                       .01
                    1159                     1.71                      .01
                    1160                     1.72                      .01
                    1161                     1.73                      .01
                    1162                     1.73                      .01
                    1163                     1.74                      .01
                    1164                     1.75                      .01
                    1165                     1.75                      .01
                    1166                     1.76                      .01
                    1167                     1.77                      .01
                    1168                     1.77                      .01
                    1169                     1.78                      .01
